fragment,n_queries,baseline_Top10,scorer_Top10,delta,verdict
*C(=O)NC,128,1.0,1.0,0.0,FALLBACK
*C(=O)c1ccc(OC)cc1,120,1.0,1.0,0.0,FALLBACK
*C(=O)c1ccco1,104,0.932692,1.0,0.067308,USE_SCORER
*C1CCCCC1,2244,0.719697,0.751783,0.032086,USE_SCORER
*CCC,2112,0.883523,0.898674,0.015152,USE_SCORER
*CCCc1ccccc1,216,1.0,0.99537,-0.00463,FALLBACK
*Cc1cccc(OC)c1,118,1.0,0.0,-1.0,FALLBACK
*Cc1ccccc1Cl,215,1.0,0.706977,-0.293023,FALLBACK
*Cc1ccccc1OC,108,1.0,0.194444,-0.805556,FALLBACK
*Cc1ccccn1,233,0.570815,0.88412,0.313305,USE_SCORER
*Cc1cccnc1,158,1.0,0.873418,-0.126582,FALLBACK
*N(C)C,1648,0.660801,0.808252,0.147451,USE_SCORER
*N1CCCCC1,1208,1.0,1.0,0.0,FALLBACK
*Nc1ccc(C)cc1,234,1.0,1.0,0.0,FALLBACK
*OC(F)(F)F,253,1.0,1.0,0.0,FALLBACK
*c1ccc(C(C)C)cc1,101,1.0,1.0,0.0,FALLBACK
*c1cccc(C)c1,1823,0.901262,0.973121,0.07186,USE_SCORER
*c1ccccc1C(F)(F)F,211,1.0,1.0,0.0,FALLBACK
*c1ccccc1F,2113,0.903455,0.961193,0.057738,USE_SCORER
ATT:C|C,4549,0.853594,0.91031,0.056716,USE_SCORER
ATT:C|N,7154,0.840089,0.859799,0.019709,USE_SCORER
ATT:C|O,1249,0.946357,0.95036,0.004003,USE_SCORER
ATT:C|S,216,0.87963,0.782407,-0.097222,FALLBACK
ATT:N|S,179,0.877095,0.921788,0.044693,USE_SCORER
