fragment,n,blend_Top10,noUSR_Top10,withUSR_Top10,USR_only_Top10
*C(=O)NC,128,1.0,1.0,1.0,0.0
*C(=O)c1ccc(OC)cc1,120,1.0,1.0,1.0,0.0
*C(=O)c1ccco1,104,0.932692,1.0,1.0,1.0
*C1CCCCC1,2244,0.719697,0.786542,0.755348,0.196524
*CCC,2112,0.883523,0.880208,0.883523,0.297822
*CCCc1ccccc1,216,1.0,1.0,1.0,0.0
*Cc1cccc(OC)c1,118,1.0,0.0,0.0,0.0
*Cc1ccccc1Cl,215,1.0,1.0,1.0,0.525581
*Cc1ccccc1OC,108,1.0,0.240741,1.0,0.0
*Cc1ccccn1,233,0.570815,0.88412,0.935622,0.570815
*Cc1cccnc1,158,1.0,0.911392,0.955696,1.0
*N(C)C,1648,0.660801,0.927791,0.816748,0.071602
*N1CCCCC1,1208,1.0,1.0,1.0,0.178808
*Nc1ccc(C)cc1,234,1.0,1.0,1.0,0.0
*OC(F)(F)F,253,1.0,1.0,1.0,1.0
*c1ccc(C(C)C)cc1,101,1.0,1.0,1.0,0.0
*c1cccc(C)c1,1823,0.901262,0.972024,0.969281,0.419089
*c1ccccc1C(F)(F)F,211,1.0,1.0,1.0,0.492891
*c1ccccc1F,2113,0.903455,0.946522,0.947941,0.543303
