model,n_queries,Top1,Top5,Top10,Top20,MRR,delta_Top10,rescue_total,rescue_11_20,rescue_20p,hits_lost
D4S27_blend,13375,0.257047,0.621009,0.834019,0.909757,0.426308,-0.0,0,1013,1207,0
D4S27_cont,13375,0.167103,0.490916,0.609346,0.768897,0.323272,-0.224673,371,595,1254,3376
D4S27_backoff,13375,0.202093,0.459738,0.619888,0.66086,0.321596,-0.214131,424,171,1625,3288
D4S28_LogReg,13375,0.286355,0.622579,0.834766,0.929944,0.444301,0.000747,256,1031,933,246
D4S28_LogReg_rerankTop20,13375,0.286355,0.622579,0.834766,0.909757,0.443486,0.000747,256,757,1207,246
D4S28_LogReg_rerankTop30,13375,0.286355,0.622579,0.834766,0.926879,0.443888,0.000747,256,986,978,246
D4S28_LogReg_best_blend,13375,0.264748,0.628112,0.836336,0.927252,0.43504,0.002317,211,1036,973,180
D4S28_SGD_pairwise,13375,0.261907,0.603065,0.810916,0.935327,0.424944,-0.023103,288,1161,771,597
D4S28_SGD_pairwise_rerankTop20,13375,0.261907,0.604411,0.81114,0.909757,0.424151,-0.022879,235,778,1207,541
D4S28_SGD_pairwise_rerankTop30,13375,0.261907,0.60329,0.811589,0.927252,0.424464,-0.02243,281,1015,924,581
D4S28_SGD_pairwise_best_blend,13375,0.277832,0.616299,0.833196,0.921271,0.437706,-0.000823,153,1014,1053,164
D4S28_HistGB,13375,0.441869,0.859364,0.937421,0.989234,0.612301,0.103402,1468,615,137,85
D4S28_HistGB_rerankTop20,13375,0.440748,0.839402,0.90228,0.909757,0.602373,0.068261,945,68,1207,32
D4S28_HistGB_rerankTop30,13375,0.442168,0.850916,0.924112,0.948112,0.608636,0.090093,1270,256,694,65
D4S28_HistGB_best_blend,13375,0.442467,0.859589,0.938542,0.988785,0.612817,0.104523,1466,612,142,68
