query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
9b8188e74e8349e1,1,1,1,1,1,3
e95b6de3d2d45343,1,8,1,6,0,15
d55ed6556dcf944e,0,11,1,7,0,12
36c79fbbc9cf79b9,1,4,1,2,1,4
c75ff3cb0c10bdf0,1,5,1,3,1,4
43451544163c7b12,1,7,0,12,1,10
eddb5fd49df1fae9,1,2,1,7,1,2
e138ad83b5fc920f,0,15,0,13,0,13
bba7a910c20745b6,0,11,1,7,0,12
2c9568b95fe4df27,1,1,1,1,1,3
652ed11aff58e139,1,2,1,5,1,6
4938b71f173c9fff,1,4,1,4,1,3
6d3fa2db79b5b2f8,1,1,1,1,1,1
45e793d3303cc631,1,5,1,4,1,5
176738d883eeb818,1,3,1,3,1,2
4b69af3d5f9340a4,0,13,0,16,0,17
0c332db1a504fb40,1,3,1,2,1,1
d4349d8bc8f228a5,1,1,1,1,1,1
503676d1cc434a7d,1,1,1,1,1,3
3d14ef41ced374dc,1,7,0,12,1,10
cb73796f3302c521,1,1,1,1,1,2
bde88fb2899ea994,0,18,0,19,0,17
780c2f0ff97dec9d,1,2,1,2,1,3
a9d2f4ec7b5499c7,1,1,1,1,1,1
50ee289751b464a9,1,2,1,2,1,3
a349e86ec39a740a,1,1,1,1,1,1
82dc02557e86007b,1,3,1,3,1,10
e30c5519f9b30ed3,1,1,1,1,1,1
0121b778782b2177,1,10,0,11,0,14
7fde4eede5c1fe40,1,3,1,2,1,1
19fa640399463fd6,1,2,1,4,1,2
1ae52dba2efa969d,1,1,1,1,1,1
6132ce50db2916e5,1,1,1,2,1,2
b6491d05cfe0fa7e,1,2,1,3,1,2
384dffbbe1324663,1,1,1,1,1,3
4d387b7f1204960d,1,2,1,3,1,3
c6b97e0c900a2695,1,2,1,2,1,4
91f92950f782935f,1,1,1,1,1,2
52a8ddc92125f94d,1,7,1,4,0,17
455394bdb8e13ea0,1,10,1,4,1,2
73b6fce750e41c42,1,1,1,2,1,8
5aadbff7970b3a65,1,1,1,1,1,1
a865b0e512991a58,1,10,1,8,0,16
2477d2f4c6bf04eb,1,1,1,1,1,1
ece1e1952ef9e1fc,1,2,1,2,1,2
9467ad2a34166fc8,1,3,1,2,1,1
babab711ea391ae9,1,1,1,1,1,5
46872b77e0f48031,1,9,0,11,0,14
6e617f79b63f2f2f,1,2,1,2,1,2
e0c9f5de945b97e9,1,2,1,3,1,3
94dd3a5d888cafbc,1,2,1,2,1,2
82cde7dadcbb9eed,1,2,1,2,1,2
b08eb94faec3fc1b,1,1,1,1,1,3
bd23b087f00c0e9a,1,2,1,5,1,2
e241b5801c450515,1,10,1,8,0,16
99f4ab72cf6c816c,1,3,1,3,1,4
ddcafe97209c037e,0,16,0,16,0,16
e6b85b774b3be09c,1,2,1,1,1,7
2ec17839005dccee,1,4,1,10,1,1
3850079e63088a48,1,10,1,10,1,4
044c95bcd5364d8b,1,9,1,10,1,10
5047f0205a85fbfe,1,8,1,4,1,5
bbcf719220913f5a,1,1,1,1,1,3
c54d41ec0d0ea35b,1,6,1,5,1,4
31ccf80bbb02df45,1,3,1,2,1,1
baa591c495e21108,1,1,1,1,1,1
f0928b6ef3b17b69,1,2,1,2,1,4
bb62a44bf1354c08,1,7,1,10,1,10
44f87b97df483fe3,1,1,1,1,1,3
a308751ae87ee513,1,3,1,8,1,1
29c24b91f599ba4b,1,1,1,1,1,1
e296e47d5454092b,1,1,1,1,1,1
527c242c5cbcb093,1,2,1,2,1,2
f2c9dae9a6d77e81,1,2,1,2,1,2
2acd6061205785a0,1,1,1,1,1,1
9880d8fcd8e93181,1,3,1,3,1,2
5a8fd10cd85c8d40,1,1,1,1,1,4
75af0f23d4a0b58e,1,5,0,16,1,1
57de934502b75c60,1,5,1,4,1,2
2addb823e064db68,1,2,1,2,1,3
4e1540b426ab0bd5,1,2,1,7,1,2
cc442d094eea9680,1,9,1,8,0,12
99626904e99463e3,1,5,1,4,1,2
b9e92ca719351b60,1,4,1,5,1,10
f142e814d03a43c9,1,3,1,3,1,1
f5eff9c16dcd4e04,1,5,1,4,1,2
0429414e52d1dac0,1,9,1,10,1,10
e36c1e7afc91c0cb,1,1,1,1,1,1
ba6894141b054d29,1,2,1,3,1,3
48ed8a581b1dc378,1,4,1,4,1,7
983c8774d3083e36,1,1,1,1,1,1
3123ac6a4568dade,1,2,1,2,1,2
b53617077ae7fe11,1,10,0,12,0,14
5494185059600d00,1,1,1,5,1,1
71a059481eb29c21,1,4,1,4,1,5
a8908ebde86b7eda,1,6,1,4,1,6
71a75d9a34adbeeb,1,4,1,5,1,5
c32751552de3923c,1,1,1,1,1,1
f5ea19210d6d299b,1,1,1,1,1,1
1fd30693b62018ec,1,10,1,8,0,16
