of,positive_pairs,total_pairs
*C(=O)CC,194,25285
*C(=O)CCC,243,28003
*C(=O)NC,128,14786
*C(=O)OC,1080,111561
*C(=O)OCC,573,62232
*C(=O)c1ccc(Cl)cc1,113,14744
*C(=O)c1ccccc1,458,95161
*C(=O)c1ccco1,104,13889
*C(C)(C)C,1215,123621
*C(C)=O,1204,161062
*C(C)C,3884,336659
*C(C)c1ccccc1,117,15542
*C(F)(F)F,798,82673
*C(N)=O,582,60087
*C1CC1,1722,167702
*C1CCC1,420,42865
*C1CCCC1,1192,117473
*C1CCCCC1,3370,278411
*C1CCCO1,106,12084
*CC,5519,486960
*CC1CC1,315,36466
*CC1CCCCC1,149,19497
*CC=C,507,56490
*CCC,3122,264732
*CCCC,2183,184469
*CCCCC,423,40688
*CCCO,98,12815
*CCCc1ccccc1,237,28291
*CCN(C)C,119,15560
*CCO,432,51588
*CCOC,244,29027
*CCc1ccccc1,1020,107038
*CO,311,32832
*Cc1ccc(C)cc1,565,55914
*Cc1ccc(Cl)cc1,974,89658
*Cc1ccc(F)cc1,969,92469
*Cc1ccc(OC)cc1,735,76341
*Cc1cccc(Cl)c1,256,29852
*Cc1cccc(OC)c1,118,15502
*Cc1ccccc1,7442,576362
*Cc1ccccc1Cl,232,27566
*Cc1ccccc1F,100,12849
*Cc1ccccc1OC,108,14138
*Cc1ccccn1,253,30987
*Cc1ccco1,112,15138
*Cc1ccncc1,219,26697
*N(C)C,2156,228922
*N(CC)CC,883,91595
*N1CCCC1,1528,152987
*N1CCCCC1,1661,162865
*N1CCN(C)CC1,1147,122568
*N1CCN(CC)CC1,103,13887
*N1CCNCC1,292,36928
*N1CCOCC1,2276,236447
*NC,1070,118957
*NC(C)=O,452,57229
*NC(C)C,99,13227
*NC1CCCCC1,358,43928
*NCC,315,38946
*NCc1ccccc1,527,61726
*Nc1ccc(C)cc1,259,31050
*Nc1ccc(Cl)cc1,498,51426
*Nc1ccc(F)cc1,237,29032
*Nc1ccc(OC)cc1,458,50093
*Nc1ccccc1,1029,105306
*OC,3029,309876
*OC(C)=O,104,12376
*OC(C)C,527,56882
*OC(F)(F)F,253,30107
*OCC,1679,174335
*OCCC,445,44030
*OCCCC,277,29512
*OCc1ccccc1,414,46053
*Oc1ccccc1,268,30107
*S(=O)(=O)c1ccc(C)cc1,120,3000
*S(=O)(=O)c1ccccc1,104,2600
*c1c[nH]c2ccccc12,173,19745
*c1cc(F)cc(F)c1,117,13851
*c1cc(OC)c(OC)c(OC)c1,486,48310
*c1ccc(Br)cc1,3673,227911
*c1ccc(C#N)cc1,1149,90100
*c1ccc(C(C)(C)C)cc1,618,50782
*c1ccc(C(C)C)cc1,101,12249
*c1ccc(C(F)(F)F)cc1,3693,209389
*c1ccc(C)c(C)c1,115,14512
*c1ccc(C)cc1,9448,540362
*c1ccc(CC)cc1,360,34958
*c1ccc(Cl)c(Cl)c1,1726,120894
*c1ccc(Cl)cc1Cl,966,78669
*c1ccc(F)c(F)c1,270,29284
*c1ccc(F)cc1,11949,688726
*c1ccc(F)cc1F,270,28716
*c1ccc(N(C)C)cc1,260,27909
*c1ccc(N)cc1,361,35422
*c1ccc(O)c(O)c1,101,11565
*c1ccc(O)cc1,1685,140109
*c1ccc(OC(F)(F)F)cc1,212,22795
*c1ccc(OC)c(OC)c1,1598,126819
*c1ccc(OC)cc1,12415,741009
*c1ccc(OCC)cc1,365,39931
*c1ccc([N+](=O)[O-])cc1,2789,182204
*c1ccc2c(c1)OCO2,865,78346
*c1cccc(Br)c1,1214,79082
*c1cccc(C(F)(F)F)c1,2273,146962
*c1cccc(C)c1,3585,222002
*c1cccc(Cl)c1,5845,330671
*c1cccc(F)c1,4275,244671
*c1cccc(O)c1,707,60304
*c1cccc([N+](=O)[O-])c1,1173,79392
*c1cccc2ccccc12,840,77369
*c1ccccc1,27448,1696803
*c1ccccc1Br,451,41049
*c1ccccc1C,3225,205543
*c1ccccc1C(F)(F)F,234,25052
*c1ccccc1Cl,5034,288978
*c1ccccc1F,4098,254486
*c1ccccc1O,270,29123
*c1ccccn1,2621,203195
*c1cccnc1,3012,229656
*c1ccco1,1877,154617
*c1cccs1,2589,187681
*c1ccncc1,2027,165843
*c1ccsc1,325,33910
