seed,lr_macro,hgb_macro,delta
0,0.8266083057620668,0.8640165036051375,0.0374081978430707
1,0.8686482266610325,0.8778056337408581,0.009157407079825597
2,0.862452824991389,0.8781462434757835,0.01569341848439454
3,0.8590982831130649,0.7438199430072314,-0.11527834010583349
4,0.8162391496321388,0.8243945760900697,0.008155426457930881
5,0.8285012001484232,0.9016341353433711,0.0731329351949479
6,0.8990726579302175,0.8941567046207698,-0.004915953309447718
7,0.8375878088787426,0.7838332109279189,-0.05375459795082371
8,0.9036666087469041,0.876644195183723,-0.027022413563181025
9,0.8189557148754633,0.8603324655588404,0.041376750683377095
