seed,best_lam,best_blend_alpha,best_blend_lam,Freq_macro,Freq_query,CA_macro,CA_query,Freq+CA_macro,Freq+CA_query,LBC_macro,LBC_query,Delta_Blend_vs_CA_macro,Delta_LBC_vs_Blend_macro,Delta_Blend_vs_CA_query,Delta_LBC_vs_Blend_query
0,0.75,0.25,0.75,0.4693573012999025,0.43579899325996074,0.6194979217097362,0.5640872508034013,0.7551729134991536,0.6794357705542758,0.8266083057620669,0.7255922418451213,0.13567499178941744,0.07143539226291329,0.11534851975087457,0.046156471290845436
1,0.75,0.25,0.75,0.4518570435088436,0.5278073658048481,0.6592581622722128,0.6352603208418063,0.765115585664252,0.7650818243439528,0.8686482266610325,0.8280881830799522,0.10585742339203918,0.1035326409967805,0.1298215035021465,0.06300635873599947
2,0.75,0.25,0.75,0.41120846193949984,0.3805837768101919,0.6925853395491182,0.6634413804225125,0.8326031813482431,0.7331478793742945,0.862452824991389,0.798097081115949,0.1400178417991249,0.029849643643145907,0.06970649895178194,0.06494920174165453
3,0.75,0.25,0.75,0.43672974291110556,0.45297504798464494,0.6552360112007253,0.5312433354659842,0.7970842115401862,0.6407816165493708,0.8590982831130649,0.6779697163574323,0.14184820033946088,0.06201407157287875,0.10953828108338659,0.03718809980806148
4,0.75,0.25,0.75,0.4927383048605312,0.4512549620229425,0.6459832079161779,0.6126965273653612,0.7683595929946436,0.7008408089269528,0.816239149632139,0.7134373144125278,0.12237638507846571,0.047879556637495324,0.0881442815615916,0.012596505485575005
5,0.75,0.25,0.75,0.41466742525075817,0.4532422123331214,0.6492998909090673,0.6219961856325492,0.8032017420653135,0.7550222504767959,0.8285012001484235,0.8062937062937063,0.15390185115624622,0.02529945808311007,0.13302606484424673,0.051271455816910394
6,0.75,0.25,0.75,0.509375985832993,0.5394627854691753,0.6639762905569055,0.607935944464166,0.8058045743499364,0.7432256537687848,0.8990726579302175,0.81714195558711,0.1418282837930308,0.09326808358028116,0.1352897093046188,0.0739163018183252
7,0.75,0.25,0.75,0.42851766272397035,0.4708425531914894,0.6899117005498361,0.601872340425532,0.785253975838013,0.7219744680851063,0.8375878088787427,0.7811404255319149,0.09534227528817696,0.052333833040729694,0.1201021276595744,0.059165957446808526
8,0.75,0.25,0.75,0.5068371974816426,0.5233652409224928,0.6288271051810191,0.6191283977543519,0.8506973399008051,0.7842804636697767,0.9036666087469041,0.8456318914334181,0.22187023471978595,0.05296926884609898,0.16515206591542475,0.06135142776364144
9,0.75,0.25,0.75,0.5031548538990149,0.5314107815828281,0.7090391623670159,0.6263476978535146,0.809885488365811,0.743929215140095,0.8189557148754634,0.777715877437326,0.10084632599879506,0.00907022650965239,0.1175815172865804,0.03378666229723093
